Date,Open,High,Low,Close,% change,Volume,TurnOver
2022-07-03,856.00,890.00,856.00,889.00,3.86,71068.00,62471477.10
2022-07-01,850.00,866.00,833.00,856.00,2.51,42203.00,36130112.00
2022-06-30,800.00,835.00,800.00,835.00,5.03,46615.00,38392058.90
2022-06-29,780.00,799.00,770.00,795.00,2.19,28748.00,22748918.80
2022-06-28,794.00,794.00,765.00,778.00,-0.26,35763.00,27883622.40
2022-06-27,790.00,810.00,775.00,780.00,0.65,89874.00,71412242.10
2022-06-26,754.80,780.00,750.00,775.00,4.73,88020.00,67627858.40
2022-06-24,749.00,750.00,726.00,740.00,-1.20,32412.00,23897108.60
2022-06-23,775.00,777.00,748.00,749.00,-4.22,73119.00,55369684.70
2022-06-22,799.00,799.90,778.00,782.00,-1.26,43206.00,33966548.60
2022-06-21,795.00,799.00,783.00,792.00,-0.36,54464.00,43235927.10
2022-06-20,814.00,814.00,793.00,794.90,-2.59,51029.00,40744255.50
2022-06-19,817.00,820.50,814.00,816.00,-0.12,49808.00,40739382.70
2022-06-17,835.00,835.00,817.00,817.00,-0.97,16582.00,13671108.40
2022-06-16,821.00,833.00,815.00,825.00,0.00,30303.00,25046352.80
2022-06-15,838.00,838.00,810.00,825.00,-1.61,33494.00,27480500.20
2022-06-14,846.00,846.00,834.00,838.50,-0.89,38169.00,32013076.80
2022-06-13,850.00,850.00,844.80,846.00,-0.25,27758.00,23514073.40
2022-06-10,850.00,855.00,840.00,848.10,0.20,26409.00,22346583.10
2022-06-09,855.00,864.00,846.00,846.40,0.40,45493.00,38872733.80
2022-06-08,828.10,855.00,828.00,843.00,1.38,43083.00,36218334.20
2022-06-07,850.00,853.00,830.00,831.50,-1.71,34581.00,29046597.90
2022-06-06,845.00,860.50,837.90,846.00,0.12,41330.00,34972889.40
2022-06-03,855.00,871.90,843.00,845.00,-1.96,43168.00,36674425.80
2022-06-02,883.90,883.90,858.00,861.90,-0.59,36911.00,31857272.40
2022-06-01,876.00,883.00,866.00,867.00,-0.91,32984.00,28718353.80
2022-05-31,890.00,890.00,865.00,875.00,-1.69,45502.00,39852803.20
2022-05-30,900.00,901.00,881.00,890.00,-0.89,44382.00,39472978.50
2022-05-27,900.00,900.00,896.00,898.00,-0.07,39790.00,35739162.00
2022-05-26,918.00,918.00,897.00,898.60,-0.16,39717.00,35742783.80
2022-05-25,915.00,915.00,898.00,900.00,0.32,38263.00,34485355.80
2022-05-24,900.00,905.00,897.00,897.10,-0.21,33616.00,30238038.80
2022-05-23,906.00,941.00,898.00,899.00,-0.77,45910.00,41509265.50
2022-05-20,901.00,915.00,900.00,906.00,-0.22,25594.00,23127532.00
2022-05-19,929.00,929.00,896.00,908.00,-0.66,29333.00,26676250.10
2022-05-18,915.00,918.00,905.30,914.00,0.44,24747.00,22492071.40
2022-05-17,930.00,935.00,908.00,910.00,-2.15,26873.00,24558509.30
2022-05-12,949.70,951.00,930.00,930.00,-0.32,54739.00,51490582.10
2022-05-11,915.00,938.00,915.00,933.00,2.56,37027.00,34410295.20
2022-05-10,912.00,912.00,897.00,909.70,1.47,40752.00,36887470.30
2022-05-09,889.00,907.00,889.00,896.50,0.84,40948.00,36905688.60
2022-05-08,900.00,910.00,880.00,889.00,-1.43,46835.00,41548903.60
2022-05-05,910.00,915.00,900.00,901.90,-0.78,50023.00,45209407.90
2022-05-04,920.00,925.00,899.00,909.00,-1.20,37775.00,34250306.50
2022-05-02,937.50,937.50,916.50,920.00,-0.86,39086.00,36030960.50
2022-04-28,934.00,947.00,927.00,928.00,-0.74,43224.00,40204268.00
2022-04-27,939.00,944.60,929.20,934.90,-0.32,34974.00,32648422.40
2022-04-26,940.90,947.00,936.00,937.90,-0.32,27496.00,25847948.60
2022-04-25,965.00,980.00,936.00,940.90,-1.11,54841.00,51980914.60
2022-04-24,941.00,951.50,930.00,951.50,1.76,47975.00,45117903.20
2022-04-21,945.00,949.00,918.20,935.00,-0.53,55028.00,50937946.50
2022-04-20,949.00,950.00,936.00,940.00,-0.95,37902.00,35782830.90
2022-04-19,950.00,961.00,935.00,949.00,-0.73,66610.00,63067385.00
2022-04-18,972.00,977.00,955.00,956.00,-1.54,51642.00,49626555.30
2022-04-17,980.00,990.00,970.00,971.00,0.00,35787.00,34917275.90
2022-04-13,970.00,972.00,953.00,971.00,1.15,35450.00,34129326.20
2022-04-12,990.00,990.00,958.10,960.00,-1.13,45151.00,43408463.80
2022-04-11,980.00,995.00,970.00,971.00,0.21,70697.00,69287032.70
2022-04-07,965.10,976.00,964.00,969.00,0.41,76197.00,73895218.30
2022-04-06,982.00,990.00,963.00,965.00,-1.93,69199.00,67001764.70
2022-04-05,1000.00,1000.00,982.00,984.00,-1.30,87147.00,85999199.00
2022-04-04,1000.00,1002.00,995.00,997.00,0.00,56895.00,56787876.60
2022-04-03,1010.10,1010.10,995.00,997.00,-0.50,42507.00,42413438.70
2022-03-31,1015.00,1019.90,1000.00,1002.00,-0.40,62677.00,63023552.60
2022-03-30,995.00,1006.00,993.00,1006.00,-0.30,101034.00,100998632.80
2022-03-29,1000.10,1030.00,1000.10,1009.00,-0.79,53395.00,53898812.70
2022-03-28,1029.00,1029.00,1010.00,1017.00,-0.29,36394.00,36969032.90
2022-03-27,1055.00,1055.00,1017.00,1020.00,-1.92,37321.00,38257052.80
2022-03-24,1057.00,1057.00,1036.00,1040.00,-0.67,34482.00,35845312.40
2022-03-23,1060.00,1060.00,1043.00,1047.00,-0.29,29498.00,30904783.00
2022-03-22,1060.00,1065.00,1048.10,1050.00,-0.19,35572.00,37554211.70
2022-03-21,1075.00,1075.00,1046.00,1052.00,-0.75,32178.00,33802164.90
2022-03-20,1080.00,1080.00,1055.30,1060.00,-0.38,28034.00,29827949.80
